      #Energy        TDOS
     -12.73788       0.00000
     -12.71488       0.00000
     -12.69188       0.00000
     -12.66888       0.00000
     -12.64588       0.00000
     -12.62288       0.00000
     -12.59988       0.00000
     -12.57688       0.00000
     -12.55488       0.00000
     -12.53188       0.00000
     -12.50888       0.00000
     -12.48588       0.00000
     -12.46288       0.00000
     -12.43988       0.00000
     -12.41688       0.00000
     -12.39488       0.00000
     -12.37188       0.00000
     -12.34888       0.00000
     -12.32588       0.00000
     -12.30288       0.00000
     -12.27988       0.00000
     -12.25688       0.00000
     -12.23488       0.00000
     -12.21188       0.00000
     -12.18888       0.00000
     -12.16588       0.00000
     -12.14288       0.00000
     -12.11988       0.00000
     -12.09688       0.00000
     -12.07488       0.00000
     -12.05188       0.00000
     -12.02888       0.00000
     -12.00588       0.00000
     -11.98288       0.00000
     -11.95988       0.00000
     -11.93688       0.00000
     -11.91488       0.00000
     -11.89188       0.00000
     -11.86888       0.00000
     -11.84588       0.00000
     -11.82288       0.00000
     -11.79988       0.00000
     -11.77688       0.00000
     -11.75488       0.00000
     -11.73188       0.00000
     -11.70888       0.00000
     -11.68588       0.00000
     -11.66288       0.00000
     -11.63988       0.00000
     -11.61688       0.00000
     -11.59488       0.00000
     -11.57188       0.00000
     -11.54888       0.00000
     -11.52588       0.00000
     -11.50288       0.00000
     -11.47988       0.00000
     -11.45688       0.00000
     -11.43488       0.00000
     -11.41188       0.00000
     -11.38888       0.00000
     -11.36588       0.00000
     -11.34288       0.00000
     -11.31988       0.00000
     -11.29688       0.00000
     -11.27488       0.00000
     -11.25188       0.00000
     -11.22888       0.00000
     -11.20588       0.00000
     -11.18288       0.00000
     -11.15988       0.00000
     -11.13688       0.00000
     -11.11388       0.00000
     -11.09188       0.00000
     -11.06888       0.00000
     -11.04588       0.00000
     -11.02288       0.00000
     -10.99988       0.00000
     -10.97688       0.00000
     -10.95388       0.00000
     -10.93188       0.00000
     -10.90888       0.00000
     -10.88588       0.00000
     -10.86288       0.00000
     -10.83988       0.00000
     -10.81688       0.00000
     -10.79388       0.00000
     -10.77188       0.00000
     -10.74888       0.00000
     -10.72588       0.00000
     -10.70288       0.00000
     -10.67988       0.00000
     -10.65688       0.00000
     -10.63388       0.00000
     -10.61188       0.00000
     -10.58888       0.00000
     -10.56588       0.00000
     -10.54288       0.00000
     -10.51988       0.00000
     -10.49688       0.00000
     -10.47388       0.00000
     -10.45188       0.00000
     -10.42888       0.00000
     -10.40588       0.00000
     -10.38288       0.00000
     -10.35988       0.00000
     -10.33688       0.00000
     -10.31388       0.00000
     -10.29188       0.00000
     -10.26888       0.00000
     -10.24588       0.00000
     -10.22288       0.00000
     -10.19988       0.00000
     -10.17688       0.00000
     -10.15388       0.00000
     -10.13188       0.00000
     -10.10888       0.00000
     -10.08588       0.00000
     -10.06288       0.00000
     -10.03988       0.00000
     -10.01688       0.00000
      -9.99388       0.00000
      -9.97188       0.00000
      -9.94888       0.00000
      -9.92588       0.00000
      -9.90288       0.00000
      -9.87988       0.00000
      -9.85688       0.00000
      -9.83388       0.00000
      -9.81188       0.00000
      -9.78888       0.00000
      -9.76588       0.00000
      -9.74288       0.00000
      -9.71988       0.00001
      -9.69688       0.00005
      -9.67388       0.00026
      -9.65088       0.00101
      -9.62888       0.00285
      -9.60588       0.00609
      -9.58288       0.01030
      -9.55988       0.01461
      -9.53688       0.01841
      -9.51388       0.02158
      -9.49088       0.02430
      -9.46888       0.02671
      -9.44588       0.02892
      -9.42288       0.03097
      -9.39988       0.03289
      -9.37688       0.03471
      -9.35388       0.03647
      -9.33088       0.03810
      -9.30888       0.03972
      -9.28588       0.04134
      -9.26288       0.04275
      -9.23988       0.04416
      -9.21688       0.04577
      -9.19388       0.04712
      -9.17088       0.04823
      -9.14888       0.04972
      -9.12588       0.05132
      -9.10288       0.05232
      -9.07988       0.05321
      -9.05688       0.05483
      -9.03388       0.05648
      -9.01088       0.05720
      -8.98888       0.05783
      -8.96588       0.05944
      -8.94288       0.06131
      -8.91988       0.06215
      -8.89688       0.06232
      -8.87388       0.06342
      -8.85088       0.06560
      -8.82888       0.06716
      -8.80588       0.06723
      -8.78288       0.06726
      -8.75988       0.06895
      -8.73688       0.07141
      -8.71388       0.07254
      -8.69088       0.07228
      -8.66888       0.07235
      -8.64588       0.07390
      -8.62288       0.07652
      -8.59988       0.07819
      -8.57688       0.07779
      -8.55388       0.07708
      -8.53088       0.07833
      -8.50888       0.08123
      -8.48588       0.08351
      -8.46288       0.08364
      -8.43988       0.08249
      -8.41688       0.08259
      -8.39388       0.08500
      -8.37088       0.08790
      -8.34888       0.08934
      -8.32588       0.08919
      -8.30288       0.08816
      -8.27988       0.08801
      -8.25688       0.09054
      -8.23388       0.09435
      -8.21088       0.09598
      -8.18788       0.09473
      -8.16588       0.09330
      -8.14288       0.09381
      -8.11988       0.09636
      -8.09688       0.09979
      -8.07388       0.10190
      -8.05088       0.10130
      -8.02788       0.09968
      -8.00588       0.09940
      -7.98288       0.10130
      -7.95988       0.10450
      -7.93688       0.10750
      -7.91388       0.10880
      -7.89088       0.10750
      -7.86788       0.10510
      -7.84588       0.10510
