      #Energy        TDOS
     -15.70364       0.00000
     -15.69564       0.00000
     -15.68764       0.00000
     -15.68064       0.00000
     -15.67264       0.00000
     -15.66464       0.00000
     -15.65664       0.00000
     -15.64964       0.00000
     -15.64164       0.00000
     -15.63364       0.00000
     -15.62564       0.00000
     -15.61864       0.00000
     -15.61064       0.00000
     -15.60264       0.00000
     -15.59464       0.00000
     -15.58764       0.00000
     -15.57964       0.00000
     -15.57164       0.00000
     -15.56364       0.00000
     -15.55664       0.00000
     -15.54864       0.00000
     -15.54064       0.00000
     -15.53264       0.00000
     -15.52564       0.00000
     -15.51764       0.00000
     -15.50964       0.00000
     -15.50164       0.00000
     -15.49464       0.00000
     -15.48664       0.00000
     -15.47864       0.00000
     -15.47064       0.00000
     -15.46364       0.00000
     -15.45564       0.00000
     -15.44764       0.00000
     -15.43964       0.00000
     -15.43264       0.00000
     -15.42464       0.00000
     -15.41664       0.00000
     -15.40864       0.00000
     -15.40164       0.00000
     -15.39364       0.00000
     -15.38564       0.00000
     -15.37764       0.00000
     -15.37064       0.00000
     -15.36264       0.00000
     -15.35464       0.00000
     -15.34664       0.00000
     -15.33964       0.00000
     -15.33164       0.00000
     -15.32364       0.00000
     -15.31564       0.00000
     -15.30864       0.00000
     -15.30064       0.00000
     -15.29264       0.00000
     -15.28464       0.00000
     -15.27764       0.00000
     -15.26964       0.00000
     -15.26164       0.00000
     -15.25364       0.00000
     -15.24664       0.00000
     -15.23864       0.00000
     -15.23064       0.00000
     -15.22264       0.00000
     -15.21564       0.00000
     -15.20764       0.00000
     -15.19964       0.00000
     -15.19164       0.00000
     -15.18464       0.00000
     -15.17664       0.00000
     -15.16864       0.00000
     -15.16064       0.00000
     -15.15364       0.00000
     -15.14564       0.00000
     -15.13764       0.00000
     -15.12964       0.00000
     -15.12264       0.00000
     -15.11464       0.00000
     -15.10664       0.00000
     -15.09864       0.00000
     -15.09164       0.00000
     -15.08364       0.00000
     -15.07564       0.00000
     -15.06764       0.00000
     -15.06064       0.00000
     -15.05264       0.00000
     -15.04464       0.00000
     -15.03664       0.00000
     -15.02964       0.00000
     -15.02164       0.00000
     -15.01364       0.00000
     -15.00564       0.00000
     -14.99864       0.00000
     -14.99064       0.00000
     -14.98264       0.00000
     -14.97464       0.00000
     -14.96764       0.00000
     -14.95964       0.00000
     -14.95164       0.00000
     -14.94364       0.00000
     -14.93664       0.00000
     -14.92864       0.00000
     -14.92064       0.00000
     -14.91264       0.00000
     -14.90564       0.00000
     -14.89764       0.00000
     -14.88964       0.00000
     -14.88164       0.00000
     -14.87364       0.00000
     -14.86664       0.00000
     -14.85864       0.00000
     -14.85064       0.00000
     -14.84264       0.00000
     -14.83564       0.00000
     -14.82764       0.00000
     -14.81964       0.00000
     -14.81164       0.00000
     -14.80464       0.00001
     -14.79664       0.00001
     -14.78864       0.00004
     -14.78064       0.00009
     -14.77364       0.00020
     -14.76564       0.00044
     -14.75764       0.00091
     -14.74964       0.00181
     -14.74264       0.00344
     -14.73464       0.00621
     -14.72664       0.01070
     -14.71864       0.01758
     -14.71164       0.02755
     -14.70364       0.04117
     -14.69564       0.05872
     -14.68764       0.07998
     -14.68064       0.10420
     -14.67264       0.13010
     -14.66464       0.15620
     -14.65664       0.18160
     -14.64964       0.20640
     -14.64164       0.23220
     -14.63364       0.26300
     -14.62564       0.30450
     -14.61864       0.36340
     -14.61064       0.44630
     -14.60264       0.55720
     -14.59464       0.69610
     -14.58764       0.85750
     -14.57964       1.03100
     -14.57164       1.20100
     -14.56364       1.35300
     -14.55664       1.47400
     -14.54864       1.55800
     -14.54064       1.60800
     -14.53264       1.63700
     -14.52564       1.66200
     -14.51764       1.70200
     -14.50964       1.77100
     -14.50164       1.87400
     -14.49464       2.00100
     -14.48664       2.13300
     -14.47864       2.24500
     -14.47064       2.30900
     -14.46364       2.30800
     -14.45564       2.23600
     -14.44764       2.10400
     -14.43964       1.93200
     -14.43264       1.74900
     -14.42464       1.58500
     -14.41664       1.46300
     -14.40864       1.39900
     -14.40164       1.39700
     -14.39364       1.45300
     -14.38564       1.56000
     -14.37764       1.71000
     -14.37064       1.90300
     -14.36264       2.14000
     -14.35464       2.43100
     -14.34664       2.78500
     -14.33964       3.20200
     -14.33164       3.67400
     -14.32364       4.17200
     -14.31564       4.65500
     -14.30864       5.06900
     -14.30064       5.36200
     -14.29264       5.49500
     -14.28464       5.44900
     -14.27764       5.23600
     -14.26964       4.89300
     -14.26164       4.47500
     -14.25364       4.04200
     -14.24664       3.64600
     -14.23864       3.32300
     -14.23064       3.08400
     -14.22264       2.92300
     -14.21564       2.82000
     -14.20764       2.75300
     -14.19964       2.70500
     -14.19164       2.66800
     -14.18464       2.64600
     -14.17664       2.64900
     -14.16864       2.68600
     -14.16064       2.76300
     -14.15364       2.87600
     -14.14564       3.01300
     -14.13764       3.15900
     -14.12964       3.30100
     -14.12264       3.42900
     -14.11464       3.54500
     -14.10664       3.65400
     -14.09864       3.76500
     -14.09164       3.88500
     -14.08364       4.01700
     -14.07564       4.15500
     -14.06764       4.28300
     -14.06064       4.38100
     -14.05264       4.42600
     -14.04464       4.40000
     -14.03664       4.28800
     -14.02964       4.09100
     -14.02164       3.82000
     -14.01364       3.49800
     -14.00564       3.15500
     -13.99864       2.82600
     -13.99064       2.54200
     -13.98264       2.33000
     -13.97464       2.20700
     -13.96764       2.18200
     -13.95964       2.25700
     -13.95164       2.43000
     -13.94364       2.69800
     -13.93664       3.05000
     -13.92864       3.47200
     -13.92064       3.94000
     -13.91264       4.42400
     -13.90564       4.88400
     -13.89764       5.28100
     -13.88964       5.57800
     -13.88164       5.75100
     -13.87464       5.79500
     -13.86664       5.71900
     -13.85864       5.55300
     -13.85064       5.33600
     -13.84364       5.10800
     -13.83564       4.90400
     -13.82764       4.74400
     -13.81964       4.63000
     -13.81264       4.54900
     -13.80464       4.47500
     -13.79664       4.38200
     -13.78864       4.25000
     -13.78164       4.06900
     -13.77364       3.84600
     -13.76564       3.60100
     -13.75764       3.36100
     -13.75064       3.15800
     -13.74264       3.01900
     -13.73464       2.96700
     -13.72664       3.01500
     -13.71964       3.17100
     -13.71164       3.43600
     -13.70364       3.80600
     -13.69564       4.26800
     -13.68864       4.80800
     -13.68064       5.40000
     -13.67264       6.01100
     -13.66464       6.60000
     -13.65764       7.12600
     -13.64964       7.54800
     -13.64164       7.84300
     -13.63364       8.00700
     -13.62664       8.06300
     -13.61864       8.05200
     -13.61064       8.02800
     -13.60264       8.04100
     -13.59564       8.11900
     -13.58764       8.26300
     -13.57964       8.44600
     -13.57164       8.61900
     -13.56464       8.73300
     -13.55664       8.75000
     -13.54864       8.65900
     -13.54064       8.47900
     -13.53364       8.25300
     -13.52564       8.03700
     -13.51764       7.88500
     -13.50964       7.83600
     -13.50264       7.90700
     -13.49464       8.09100
     -13.48664       8.35900
     -13.47864       8.67100
     -13.47164       8.98300
     -13.46364       9.25700
     -13.45564       9.46300
     -13.44764       9.58300
     -13.44064       9.61000
     -13.43264       9.54400
     -13.42464       9.39100
     -13.41664       9.15800
     -13.40964       8.85500
     -13.40164       8.49100
     -13.39364       8.08300
     -13.38564       7.65200
     -13.37864       7.22400
     -13.37064       6.83400
     -13.36264       6.51800
     -13.35464       6.31400
     -13.34764       6.25100
     -13.33964       6.34600
     -13.33164       6.60400
     -13.32364       7.01000
     -13.31664       7.54200
     -13.30864       8.16900
     -13.30064       8.86400
     -13.29264       9.60800
     -13.28564      10.39000
     -13.27764      11.23000
     -13.26964      12.13000
     -13.26164      13.11000
     -13.25464      14.17000
     -13.24664      15.31000
     -13.23864      16.50000
     -13.23064      17.67000
     -13.22364      18.77000
     -13.21564      19.71000
     -13.20764      20.44000
     -13.19964      20.89000
     -13.19264      21.09000
     -13.18464      21.04000
     -13.17664      20.82000
     -13.16864      20.52000
     -13.16164      20.20000
     -13.15364      19.94000
     -13.14564      19.77000
     -13.13764      19.70000
     -13.13064      19.69000
     -13.12264      19.71000
     -13.11464      19.70000
     -13.10664      19.63000
     -13.09964      19.49000
     -13.09164      19.26000
     -13.08364      18.95000
     -13.07564      18.60000
     -13.06864      18.20000
     -13.06064      17.78000
     -13.05264      17.33000
     -13.04464      16.82000
     -13.03764      16.23000
     -13.02964      15.52000
     -13.02164      14.65000
     -13.01364      13.62000
     -13.00664      12.42000
     -12.99864      11.12000
     -12.99064       9.76200
     -12.98264       8.44900
     -12.97564       7.26500
     -12.96764       6.28400
     -12.95964       5.55100
     -12.95164       5.07200
     -12.94464       4.81500
     -12.93664       4.71500
     -12.92864       4.69200
     -12.92064       4.66200
     -12.91364       4.55900
     -12.90564       4.34000
     -12.89764       3.99300
     -12.88964       3.53600
     -12.88264       3.00500
     -12.87464       2.44600
     -12.86664       1.90600
     -12.85864       1.42000
     -12.85164       1.01200
     -12.84364       0.68850
     -12.83564       0.44770
     -12.82764       0.27810
     -12.82064       0.16500
     -12.81264       0.09345
     -12.80464       0.05053
     -12.79664       0.02609
     -12.78964       0.01286
     -12.78164       0.00605
     -12.77364       0.00271
     -12.76564       0.00116
     -12.75864       0.00048
     -12.75064       0.00019
     -12.74264       0.00007
     -12.73464       0.00002
     -12.72764       0.00001
     -12.71964       0.00000
     -12.71164       0.00000
     -12.70364       0.00000
     -12.69664       0.00000
     -12.68864       0.00000
     -12.68064       0.00000
     -12.67264       0.00000
     -12.66564       0.00000
     -12.65764       0.00000
     -12.64964       0.00000
     -12.64164       0.00000
     -12.63464       0.00000
     -12.62664       0.00000
     -12.61864       0.00000
     -12.61064       0.00000
     -12.60364       0.00000
     -12.59564       0.00000
     -12.58764       0.00000
     -12.57964       0.00000
     -12.57264       0.00000
     -12.56464       0.00000
     -12.55664       0.00000
     -12.54864       0.00000
     -12.54164       0.00000
     -12.53364       0.00000
     -12.52564       0.00000
     -12.51764       0.00000
     -12.51064       0.00000
