      #Energy        TDOS
     -15.63188       0.00000
     -15.62488       0.00000
     -15.61788       0.00000
     -15.61088       0.00000
     -15.60488       0.00000
     -15.59788       0.00000
     -15.59088       0.00000
     -15.58488       0.00000
     -15.57788       0.00000
     -15.57088       0.00000
     -15.56488       0.00000
     -15.55788       0.00000
     -15.55088       0.00000
     -15.54388       0.00000
     -15.53788       0.00000
     -15.53088       0.00000
     -15.52388       0.00000
     -15.51788       0.00000
     -15.51088       0.00000
     -15.50388       0.00000
     -15.49688       0.00000
     -15.49088       0.00000
     -15.48388       0.00000
     -15.47688       0.00000
     -15.47088       0.00000
     -15.46388       0.00000
     -15.45688       0.00000
     -15.44988       0.00000
     -15.44388       0.00000
     -15.43688       0.00000
     -15.42988       0.00000
     -15.42388       0.00000
     -15.41688       0.00000
     -15.40988       0.00000
     -15.40288       0.00000
     -15.39688       0.00000
     -15.38988       0.00000
     -15.38288       0.00000
     -15.37688       0.00000
     -15.36988       0.00000
     -15.36288       0.00000
     -15.35688       0.00000
     -15.34988       0.00000
     -15.34288       0.00000
     -15.33588       0.00000
     -15.32988       0.00000
     -15.32288       0.00000
     -15.31588       0.00000
     -15.30988       0.00000
     -15.30288       0.00000
     -15.29588       0.00000
     -15.28888       0.00000
     -15.28288       0.00000
     -15.27588       0.00000
     -15.26888       0.00000
     -15.26288       0.00000
     -15.25588       0.00000
     -15.24888       0.00000
     -15.24188       0.00000
     -15.23588       0.00000
     -15.22888       0.00000
     -15.22188       0.00000
     -15.21588       0.00000
     -15.20888       0.00000
     -15.20188       0.00000
     -15.19588       0.00000
     -15.18888       0.00000
     -15.18188       0.00000
     -15.17488       0.00000
     -15.16888       0.00000
     -15.16188       0.00000
     -15.15488       0.00000
     -15.14888       0.00000
     -15.14188       0.00000
     -15.13488       0.00000
     -15.12788       0.00000
     -15.12188       0.00000
     -15.11488       0.00000
     -15.10788       0.00000
     -15.10188       0.00000
     -15.09488       0.00000
     -15.08788       0.00000
     -15.08088       0.00000
     -15.07488       0.00000
     -15.06788       0.00000
     -15.06088       0.00000
     -15.05488       0.00000
     -15.04788       0.00000
     -15.04088       0.00000
     -15.03488       0.00000
     -15.02788       0.00000
     -15.02088       0.00000
     -15.01388       0.00000
     -15.00788       0.00000
     -15.00088       0.00000
     -14.99388       0.00000
     -14.98788       0.00000
     -14.98088       0.00000
     -14.97388       0.00000
     -14.96688       0.00000
     -14.96088       0.00000
     -14.95388       0.00000
     -14.94688       0.00000
     -14.94088       0.00000
     -14.93388       0.00000
     -14.92688       0.00000
     -14.91988       0.00000
     -14.91388       0.00000
     -14.90688       0.00000
     -14.89988       0.00000
     -14.89388       0.00000
     -14.88688       0.00000
     -14.87988       0.00000
     -14.87288       0.00000
     -14.86688       0.00001
     -14.85988       0.00002
     -14.85288       0.00005
     -14.84688       0.00011
     -14.83988       0.00023
     -14.83288       0.00046
     -14.82688       0.00089
     -14.81988       0.00164
     -14.81288       0.00294
     -14.80588       0.00509
     -14.79988       0.00850
     -14.79288       0.01373
     -14.78588       0.02145
     -14.77988       0.03242
     -14.77288       0.04742
     -14.76588       0.06714
     -14.75888       0.09207
     -14.75288       0.12240
     -14.74588       0.15770
     -14.73888       0.19730
     -14.73288       0.23990
     -14.72588       0.28370
     -14.71888       0.32680
     -14.71188       0.36740
     -14.70588       0.40370
     -14.69888       0.43430
     -14.69188       0.45860
     -14.68588       0.47610
     -14.67888       0.48680
     -14.67188       0.49090
     -14.66588       0.48870
     -14.65888       0.48030
     -14.65188       0.46580
     -14.64488       0.44530
     -14.63888       0.41910
     -14.63188       0.38780
     -14.62488       0.35220
     -14.61888       0.31380
     -14.61188       0.27470
     -14.60488       0.23740
     -14.59788       0.20480
     -14.59188       0.18030
     -14.58488       0.16760
     -14.57788       0.17070
     -14.57188       0.19410
     -14.56488       0.24210
     -14.55788       0.31910
     -14.55088       0.42850
     -14.54488       0.57280
     -14.53788       0.75220
     -14.53088       0.96410
     -14.52488       1.20300
     -14.51788       1.46100
     -14.51088       1.72800
