      #Energy        TDOS
     -15.45116       0.00000
     -15.44316       0.00000
     -15.43416       0.00000
     -15.42516       0.00000
     -15.41716       0.00000
     -15.40816       0.00000
     -15.39916       0.00000
     -15.39116       0.00000
     -15.38216       0.00000
     -15.37316       0.00000
     -15.36416       0.00000
     -15.35616       0.00000
     -15.34716       0.00000
     -15.33816       0.00000
     -15.33016       0.00000
     -15.32116       0.00000
     -15.31216       0.00000
     -15.30316       0.00000
     -15.29516       0.00000
     -15.28616       0.00000
     -15.27716       0.00000
     -15.26916       0.00000
     -15.26016       0.00000
     -15.25116       0.00000
     -15.24316       0.00000
     -15.23416       0.00000
     -15.22516       0.00000
     -15.21616       0.00000
     -15.20816       0.00000
     -15.19916       0.00000
     -15.19016       0.00000
     -15.18216       0.00000
     -15.17316       0.00000
     -15.16416       0.00000
     -15.15516       0.00000
     -15.14716       0.00000
     -15.13816       0.00000
     -15.12916       0.00000
     -15.12116       0.00000
     -15.11216       0.00000
     -15.10316       0.00000
     -15.09516       0.00000
     -15.08616       0.00000
     -15.07716       0.00000
     -15.06816       0.00000
     -15.06016       0.00000
     -15.05116       0.00000
     -15.04216       0.00000
     -15.03416       0.00000
     -15.02516       0.00000
     -15.01616       0.00000
     -15.00716       0.00000
     -14.99916       0.00000
     -14.99016       0.00000
     -14.98116       0.00000
     -14.97316       0.00000
     -14.96416       0.00000
     -14.95516       0.00000
     -14.94716       0.00000
     -14.93816       0.00000
     -14.92916       0.00000
     -14.92016       0.00000
     -14.91216       0.00000
     -14.90316       0.00000
     -14.89416       0.00000
     -14.88616       0.00000
     -14.87716       0.00000
     -14.86816       0.00000
     -14.85916       0.00000
     -14.85116       0.00000
     -14.84216       0.00000
     -14.83316       0.00000
     -14.82516       0.00000
     -14.81616       0.00000
     -14.80716       0.00000
     -14.79916       0.00000
     -14.79016       0.00000
     -14.78116       0.00000
     -14.77216       0.00000
     -14.76416       0.00000
     -14.75516       0.00000
     -14.74616       0.00000
     -14.73816       0.00000
     -14.72916       0.00000
     -14.72016       0.00000
     -14.71216       0.00000
     -14.70316       0.00000
     -14.69416       0.00000
     -14.68516       0.00000
     -14.67716       0.00000
     -14.66816       0.00000
     -14.65916       0.00000
     -14.65116       0.00000
     -14.64216       0.00000
     -14.63316       0.00000
     -14.62416       0.00000
     -14.61616       0.00000
     -14.60716       0.00000
     -14.59816       0.00000
     -14.59016       0.00000
     -14.58116       0.00000
     -14.57216       0.00000
     -14.56416       0.00000
     -14.55516       0.00000
     -14.54616       0.00000
     -14.53716       0.00000
     -14.52916       0.00000
     -14.52016       0.00000
     -14.51116       0.00000
     -14.50316       0.00000
     -14.49416       0.00000
     -14.48516       0.00000
     -14.47616       0.00000
     -14.46816       0.00000
     -14.45916       0.00000
     -14.45016       0.00000
     -14.44216       0.00000
     -14.43316       0.00000
     -14.42416       0.00000
     -14.41616       0.00000
     -14.40716       0.00001
     -14.39816       0.00003
     -14.38916       0.00007
     -14.38116       0.00017
     -14.37216       0.00041
     -14.36316       0.00092
     -14.35516       0.00196
     -14.34616       0.00396
     -14.33716       0.00759
     -14.32816       0.01375
     -14.32016       0.02365
     -14.31116       0.03858
     -14.30216       0.05983
     -14.29416       0.08830
     -14.28516       0.12420
     -14.27616       0.16690
     -14.26816       0.21480
     -14.25916       0.26520
     -14.25016       0.31530
     -14.24116       0.36230
     -14.23316       0.40380
     -14.22416       0.43850
     -14.21516       0.46570
     -14.20716       0.48610
     -14.19816       0.50050
     -14.18916       0.51030
     -14.18016       0.51680
     -14.17216       0.52100
     -14.16316       0.52390
     -14.15416       0.52590
     -14.14616       0.52750
     -14.13716       0.52890
     -14.12816       0.53020
     -14.12016       0.53140
     -14.11116       0.53260
     -14.10216       0.53380
     -14.09316       0.53500
     -14.08516       0.53640
     -14.07616       0.53780
     -14.06716       0.53900
     -14.05916       0.54010
     -14.05016       0.54110
     -14.04116       0.54230
     -14.03316       0.54380
     -14.02416       0.54550
     -14.01516       0.54730
     -14.00616       0.54870
     -13.99816       0.54970
     -13.98916       0.55030
     -13.98016       0.55100
     -13.97216       0.55230
     -13.96316       0.55440
     -13.95416       0.55690
     -13.94516       0.55940
     -13.93716       0.56100
     -13.92816       0.56140
     -13.91916       0.56120
     -13.91116       0.56110
     -13.90216       0.56210
     -13.89316       0.56470
     -13.88516       0.56850
