      #Energy        TDOS
     -13.21546       0.00000
     -13.13446       0.00000
     -13.05446       0.00000
     -12.97346       0.00000
     -12.89246       0.00000
     -12.81246       0.00000
     -12.73146       0.00000
     -12.65146       0.00000
     -12.57046       0.00000
     -12.49046       0.00000
     -12.40946       0.00000
     -12.32846       0.00000
     -12.24846       0.00000
     -12.16746       0.00053
     -12.08746       0.02201
     -12.00646       0.08612
     -11.92646       0.13360
     -11.84546       0.16730
     -11.76546       0.19570
     -11.68446       0.22080
     -11.60346       0.24380
     -11.52346       0.26530
     -11.44246       0.28560
     -11.36246       0.30500
     -11.28146       0.32380
     -11.20146       0.34210
     -11.12046       0.36000
     -11.03946       0.37770
     -10.95946       0.39530
     -10.87846       0.41290
     -10.79846       0.43070
     -10.71746       0.44860
     -10.63746       0.46680
     -10.55646       0.48520
     -10.47546       0.50420
     -10.39546       0.52460
     -10.31446       0.54690
     -10.23446       0.57040
     -10.15346       0.59500
     -10.07346       0.62290
      -9.99246       0.65780
      -9.91246       0.70240
      -9.83146       0.76900
      -9.75046       0.86400
      -9.67046       0.87850
      -9.58946       0.85410
      -9.50946       0.82640
      -9.42846       0.79640
      -9.34846       0.76820
      -9.26746       0.74200
      -9.18646       0.71500
      -9.10646       0.68630
      -9.02546       0.65740
      -8.94546       0.62920
      -8.86446       0.60100
      -8.78446       0.57180
      -8.70346       0.54130
      -8.62246       0.51000
      -8.54246       0.47830
      -8.46146       0.44530
      -8.38146       0.40930
      -8.30046       0.36990
      -8.22046       0.32820
      -8.13946       0.28180
      -8.05946       0.22210
      -7.97846       0.13730
      -7.89746       0.07745
      -7.81746       0.09206
      -7.73646       0.14410
      -7.65646       0.19990
      -7.57546       0.25640
      -7.49546       0.31010
      -7.41446       0.35430
      -7.33346       0.40110
      -7.25346       0.46280
      -7.17246       0.53440
      -7.09246       0.72180
      -7.01146       1.14700
      -6.93146       1.66300
      -6.85046       1.35100
      -6.76946       1.03700
      -6.68946       0.89920
      -6.60846       0.80670
      -6.52846       0.73350
      -6.44746       0.68110
      -6.36746       0.63700
      -6.28646       0.59480
      -6.20646       0.56070
      -6.12546       0.53130
      -6.04446       0.50260
      -5.96446       0.47670
      -5.88346       0.45440
      -5.80346       0.43270
      -5.72246       0.41140
      -5.64246       0.39480
      -5.56146       0.37530
      -5.48046       0.35890
      -5.40046       0.34590
      -5.31946       0.32680
      -5.23946       0.31780
      -5.15846       0.30040
      -5.07846       0.28900
      -4.99746       0.27790
      -4.91746       0.26330
      -4.83646       0.25670
      -4.75546       0.24190
      -4.67546       0.23630
      -4.59446       0.24770
      -4.51446       0.44620
      -4.43346       0.67920
      -4.35346       0.89980
      -4.27246       1.15000
      -4.19146       1.21900
      -4.11146       1.15100
      -4.03046       1.09400
      -3.95046       1.04100
      -3.86946       1.03000
      -3.78946       1.02200
      -3.70846       1.03000
      -3.62746       1.03900
      -3.54746       1.06400
      -3.46646       1.07900
      -3.38646       1.11100
      -3.30546       1.14400
      -3.22546       1.19000
      -3.14446       1.25600
      -3.06446       1.34800
      -2.98346       1.50400
      -2.90246       1.51700
      -2.82246       1.50700
      -2.74146       1.47600
      -2.66146       1.45800
      -2.58046       1.42800
      -2.50046       1.41000
      -2.41946       1.38500
      -2.33846       1.36900
      -2.25846       1.34000
      -2.17746       1.32300
      -2.09746       1.29800
      -2.01646       1.28100
      -1.93646       1.25100
      -1.85546       1.24500
      -1.77446       1.20900
      -1.69446       1.20000
      -1.61346       1.17500
      -1.53346       1.15500
      -1.45246       1.13900
      -1.37246       1.06800
      -1.29146       0.90040
      -1.21146       0.76130
      -1.13046       0.67260
      -1.04946       0.59530
      -0.96946       0.53190
      -0.88846       0.47300
      -0.80846       0.42180
      -0.72746       0.37350
      -0.64746       0.32780
      -0.56646       0.28460
      -0.48546       0.24360
      -0.40546       0.20050
      -0.32446       0.15740
      -0.24446       0.10410
      -0.16346       0.03274
      -0.08346       0.00125
      -0.00246       0.00000
       0.07854       0.00000
       0.15854       0.00000
       0.23954       0.00000
       0.31954       0.00030
       0.40054       0.01689
       0.48054       0.08282
       0.56154       0.16340
       0.64154       0.24110
       0.72254       0.30210
       0.80354       0.35200
       0.88354       0.40210
       0.96454       0.44440
       1.04454       0.49050
       1.12554       0.52860
       1.20554       0.57900
       1.28654       0.60890
       1.36754       0.68780
       1.44754       0.75730
       1.52854       0.83540
       1.60854       0.91670
       1.68954       0.97870
       1.76954       1.07700
       1.85054       1.17600
       1.93154       1.29700
       2.01154       1.52600
       2.09254       1.61500
       2.17254       1.58600
       2.25354       1.57700
       2.33354       1.50300
       2.41454       1.38600
       2.49454       1.27900
       2.57554       1.19900
       2.65654       1.12100
       2.73654       1.12000
       2.81754       1.08600
       2.89754       1.03200
       2.97854       1.19400
       3.05854       1.73800
       3.13954       2.35700
       3.22054       2.16400
       3.30054       1.83400
       3.38154       1.63600
       3.46154       1.61300
       3.54254       1.62300
       3.62254       1.66300
       3.70354       1.59300
       3.78354       1.47000
       3.86454       1.28800
       3.94554       1.21700
       4.02554       1.18300
       4.10654       1.14700
       4.18654       1.24500
       4.26754       1.23800
       4.34754       1.29300
       4.42854       1.44200
       4.50954       1.28900
       4.58954       1.22100
       4.67054       1.27700
       4.75054       1.23000
       4.83154       1.21300
       4.91154       1.21600
       4.99254       1.17200
       5.07354       1.22900
       5.15354       1.15300
       5.23454       1.12900
       5.31454       1.21600
       5.39554       1.12400
       5.47554       1.08700
       5.55654       1.15000
       5.63654       1.07800
       5.71754       1.00900
       5.79854       1.06400
       5.87854       1.02000
       5.95954       0.98760
       6.03954       0.98390
       6.12054       0.98330
       6.20054       0.96120
       6.28154       0.91180
       6.36254       0.88140
       6.44254       0.96590
       6.52354       0.90680
       6.60354       0.82730
       6.68454       0.87310
       6.76454       0.83190
       6.84554       0.71590
       6.92654       0.68980
       7.00654       0.74740
       7.08754       0.63940
       7.16754       0.55410
       7.24854       0.64240
       7.32854       0.60100
       7.40954       0.47160
       7.48954       0.52630
       7.57054       0.65330
       7.65154       0.59120
       7.73154       0.51450
       7.81254       0.56810
       7.89254       0.40160
       7.97354       0.30980
       8.05354       0.32990
       8.13454       0.25760
       8.21554       0.16510
       8.29554       0.22410
       8.37654       0.22630
       8.45654       0.13300
       8.53754       0.16610
       8.61754       0.19360
       8.69854       0.11200
       8.77954       0.11620
       8.85954       0.15300
       8.94054       0.09399
       9.02054       0.08281
       9.10154       0.11070
       9.18154       0.07166
       9.26254       0.06113
       9.34254       0.07434
       9.42354       0.04837
       9.50454       0.04207
       9.58454       0.04366
       9.66554       0.02552
       9.74554       0.02508
       9.82654       0.01352
       9.90654       0.00342
       9.98754       0.00008
      10.06854       0.00000
      10.14854       0.00000
      10.22954       0.00000
      10.30954       0.00000
      10.39054       0.00000
      10.47054       0.00000
      10.55154       0.00000
      10.63154       0.00000
      10.71254       0.00000
      10.79354       0.00000
      10.87354       0.00000
      10.95454       0.00000
