      #Energy        TDOS
     -14.38719       0.00000
     -14.37719       0.00000
     -14.36719       0.00000
     -14.35719       0.00000
     -14.34719       0.00000
     -14.33719       0.00000
     -14.32619       0.00000
     -14.31619       0.00000
     -14.30619       0.00000
     -14.29619       0.00000
     -14.28619       0.00000
     -14.27619       0.00000
     -14.26619       0.00000
     -14.25619       0.00000
     -14.24519       0.00000
     -14.23519       0.00000
     -14.22519       0.00000
     -14.21519       0.00000
     -14.20519       0.00000
     -14.19519       0.00000
     -14.18519       0.00000
     -14.17519       0.00000
     -14.16519       0.00000
     -14.15419       0.00000
     -14.14419       0.00000
     -14.13419       0.00000
     -14.12419       0.00000
     -14.11419       0.00000
     -14.10419       0.00000
     -14.09419       0.00000
     -14.08419       0.00000
     -14.07319       0.00000
     -14.06319       0.00000
     -14.05319       0.00000
     -14.04319       0.00000
     -14.03319       0.00000
     -14.02319       0.00000
     -14.01319       0.00000
     -14.00319       0.00000
     -13.99319       0.00000
     -13.98219       0.00000
     -13.97219       0.00000
     -13.96219       0.00000
     -13.95219       0.00000
     -13.94219       0.00000
     -13.93219       0.00000
     -13.92219       0.00000
     -13.91219       0.00000
     -13.90119       0.00000
     -13.89119       0.00000
     -13.88119       0.00000
     -13.87119       0.00000
     -13.86119       0.00000
     -13.85119       0.00000
     -13.84119       0.00000
     -13.83119       0.00000
     -13.82119       0.00000
     -13.81019       0.00000
     -13.80019       0.00000
     -13.79019       0.00000
     -13.78019       0.00000
     -13.77019       0.00000
     -13.76019       0.00000
     -13.75019       0.00000
     -13.74019       0.00000
     -13.72919       0.00000
     -13.71919       0.00000
     -13.70919       0.00000
     -13.69919       0.00000
     -13.68919       0.00000
     -13.67919       0.00000
     -13.66919       0.00000
     -13.65919       0.00000
     -13.64919       0.00000
     -13.63819       0.00000
     -13.62819       0.00000
     -13.61819       0.00000
     -13.60819       0.00000
     -13.59819       0.00000
     -13.58819       0.00000
     -13.57819       0.00000
     -13.56819       0.00000
     -13.55719       0.00000
     -13.54719       0.00000
     -13.53719       0.00000
     -13.52719       0.00000
     -13.51719       0.00000
     -13.50719       0.00000
     -13.49719       0.00000
     -13.48719       0.00000
     -13.47719       0.00000
     -13.46619       0.00000
     -13.45619       0.00000
     -13.44619       0.00000
     -13.43619       0.00000
     -13.42619       0.00000
     -13.41619       0.00000
     -13.40619       0.00000
     -13.39619       0.00000
     -13.38519       0.00000
     -13.37519       0.00000
     -13.36519       0.00000
     -13.35519       0.00000
     -13.34519       0.00000
     -13.33519       0.00000
     -13.32519       0.00000
     -13.31519       0.00000
     -13.30519       0.00000
     -13.29419       0.00000
     -13.28419       0.00000
     -13.27419       0.00000
     -13.26419       0.00000
     -13.25419       0.00000
     -13.24419       0.00000
     -13.23419       0.00000
     -13.22419       0.00000
     -13.21319       0.00000
     -13.20319       0.00000
     -13.19319       0.00000
     -13.18319       0.00000
     -13.17319       0.00000
     -13.16319       0.00000
     -13.15319       0.00000
     -13.14319       0.00001
     -13.13319       0.00003
     -13.12219       0.00010
     -13.11219       0.00027
     -13.10219       0.00071
     -13.09219       0.00174
     -13.08219       0.00395
     -13.07219       0.00837
     -13.06219       0.01656
     -13.05219       0.03065
     -13.04119       0.05321
     -13.03119       0.08689
     -13.02119       0.13380
     -13.01119       0.19520
     -13.00119       0.27070
     -12.99119       0.35840
     -12.98119       0.45550
     -12.97119       0.55860
     -12.96119       0.66450
     -12.95019       0.77100
     -12.94019       0.87660
     -12.93019       0.98110
     -12.92019       1.08500
     -12.91019       1.18900
     -12.90019       1.29400
     -12.89019       1.40200
     -12.88019       1.51300
     -12.86919       1.62900
     -12.85919       1.75100
     -12.84919       1.87900
     -12.83919       2.01600
     -12.82919       2.16200
     -12.81919       2.32100
     -12.80919       2.49300
     -12.79919       2.68300
     -12.78919       2.89400
     -12.77819       3.13200
     -12.76819       3.40400
     -12.75819       3.71800
     -12.74819       4.08600
     -12.73819       4.51900
     -12.72819       5.02700
     -12.71819       5.61800
     -12.70819       6.29100
     -12.69719       7.03600
     -12.68719       7.83000
     -12.67719       8.64000
     -12.66719       9.41900
     -12.65719      10.11000
     -12.64719      10.65000
     -12.63719      10.96000
     -12.62719      10.96000
     -12.61719      10.59000
     -12.60619       9.83000
     -12.59619       8.71700
     -12.58619       7.34300
     -12.57619       5.84800
     -12.56619       4.38500
     -12.55619       3.08400
     -12.54619       2.03000
     -12.53619       1.24600
     -12.52519       0.71310
     -12.51519       0.37950
     -12.50519       0.18760
     -12.49519       0.08603
     -12.48519       0.03658
     -12.47519       0.01441
     -12.46519       0.00526
     -12.45519       0.00178
     -12.44519       0.00055
     -12.43419       0.00016
     -12.42419       0.00004
     -12.41419       0.00001
     -12.40419       0.00000
     -12.39419       0.00000
     -12.38419       0.00000
     -12.37419       0.00000
     -12.36419       0.00000
     -12.35319       0.00000
     -12.34319       0.00000
     -12.33319       0.00000
     -12.32319       0.00000
     -12.31319       0.00000
     -12.30319       0.00000
     -12.29319       0.00000
     -12.28319       0.00000
     -12.27319       0.00000
     -12.26219       0.00000
     -12.25219       0.00000
     -12.24219       0.00000
     -12.23219       0.00000
     -12.22219       0.00000
     -12.21219       0.00000
     -12.20219       0.00000
     -12.19219       0.00000
     -12.18119       0.00000
     -12.17119       0.00000
     -12.16119       0.00000
     -12.15119       0.00000
     -12.14119       0.00000
     -12.13119       0.00000
     -12.12119       0.00000
     -12.11119       0.00000
     -12.10119       0.00000
     -12.09019       0.00000
     -12.08019       0.00000
     -12.07019       0.00000
